food_name,serving_unit,serving_unit_label,serving_weight_g,calories,carbohydrate,protein,fat,is_active
콩비지찌개,인분,1,400,275,21.1,26.9,12.3,TRUE
햄김치찌개,인분,1,300,141,11.1,7.8,7.3,TRUE
호박찌개,인분,1,300,95,12.2,5.6,2.6,TRUE
고추장찌개,인분,1,400,411,54.1,27.6,11.6,TRUE
대구찜,인분,1,500,376,24.7,51.7,7.9,TRUE
도미찜,인분,1,500,625,6.9,115,17.4,TRUE
문어숙회,반찬그릇,1,80,66,0.9,14.9,0.5,TRUE
아귀찜,인분,1,500,378,36.3,33.6,15.6,TRUE
조기찜,인분,1,250,455,4.1,50.1,26.5,TRUE
참꼬막,인분,1,80,90,4.6,12.5,2.5,TRUE
해물찜,인분,1,500,400,35.4,42.6,9.8,TRUE
소갈비찜,인분,1,250,494,13.1,49.9,27,TRUE
돼지갈비찜,인분,1,300,581,22.3,39.9,37,TRUE
돼지고기수육,인분,1,300,936,12.1,59.6,74.5,TRUE
찜닭,인분,1,200,385,31.6,27.9,15,TRUE
족발,인분,1,250,582,5.7,65.1,34.8,TRUE
달걀찜,인분,1,150,212,3.1,15.1,15.2,TRUE
닭갈비,인분,1,400,669,37.9,53.3,34,TRUE
닭꼬치,개,1,70,176,13.4,11.6,8.6,TRUE
돼지갈비,인분,1,200,586,12.7,56.5,37.1,TRUE
떡갈비,반찬그릇,1,70,141,1.7,15,8.3,TRUE
불고기,인분,1,200,526,12.1,45.9,33.6,TRUE
소곱창구이,인분,1,200,268,2.4,24.8,40.3,TRUE
소양념갈비구이,인분,1,150,407,5,27,31,TRUE
소불고기,인분,1,300,489,15,56.5,20.5,TRUE
양념왕갈비,인분,1,200,640,18.3,36.1,47.1,TRUE
햄버거스테이크,회분,1,150,555,13.7,38.5,41.6,TRUE
훈제오리,인분,1,200,637,9.7,34.4,51.3,TRUE
치킨데리야끼,인분,1,340,707,51.7,56.2,30.6,TRUE
치킨윙,회분,1,100,190,5,17,11,TRUE
더덕구이,반찬그릇,1,70,128,21.8,2.2,3.6,TRUE
양배추구이,인분,1,70,23,5.5,1.2,0.1,TRUE
두부구이,인분,1,110,118,3.8,9.8,7.6,TRUE
삼치구이,인분,1,200,355,3.2,42.8,19.1,TRUE
가자미전,반찬그릇,1,70,107,3.2,12,5.2,TRUE
굴전,반찬그릇,1,70,136,10.1,7.4,7.3,TRUE
동태전,반찬그릇,1,70,125,4.9,10.6,7,TRUE
해물파전,반찬그릇,1,70,119,12.8,3.9,5.9,TRUE
