food_name,main_category,sub_category,detail_category,base_weight,base_unit,base_kcal,carbs,protein,fat,serving_weight,serving_unit,serving_kcal
깻잎김치,김치류,깻잎김치,,100,g,62,8.92,2.82,1.72,50,g,31.00 
나박김치,김치류,나박김치,,100,g,10,1.15,0.46,0.38,100,g,10.00 
동치미,김치류,동치미,,100,g,14,2.28,0.29,0.37,200,g,28.00 
물김치_돌나물,김치류,물김치,돌나물,100,g,5,0.75,0.31,0.08,400,g,20.00 
보쌈김치,김치류,보쌈김치,,100,g,30,3.73,2.19,0.72,90,g,27.00 
부추김치,김치류,부추김치,,100,g,47,6.36,2.68,1.16,50,g,23.50 
얼갈이배추김치,김치류,얼갈이배추김치,,100,g,63,10.94,1.59,1.45,80,g,50.40 
오이김치,김치류,오이김치,,100,g,38,5.64,2.06,0.8,70,g,26.60 
가자미식해,젓갈류,가자미식해,,100,g,134,11.64,11.09,4.81,250,g,335.00 
갈치젓_양념,젓갈류,갈치젓,양념,100,g,149,10.28,15.53,5.08,90,g,134.10 
멸치젓_양념,젓갈류,멸치젓,양념,100,g,90,7.4,11.4,1.6,5,g,4.50 
새우젓_양념,젓갈류,새우젓,양념,100,g,69,6,7.1,1.8,10,g,6.90 
오징어젓_양념,젓갈류,오징어젓,양념,100,g,60,3.4,10.1,0.7,10,g,6.00 
꽃게장_간장,젓갈류,꽃게장,간장,100,g,62,6.04,7.02,1.1,250,g,155.00 
꽃게장_양념,젓갈류,꽃게장,양념,100,g,97,12.61,10.23,0.61,200,g,194.00 
단무지,장아찌·절임류,단무지,,100,g,13,2.4,0.33,0.2,30,g,3.90 
더덕장아찌,장아찌·절임류,더덕장아찌,,100,g,141,28.9,4.47,0.89,90,g,126.90 
매실장아찌_우메보시(일본),장아찌·절임류,매실장아찌,우메보시(일본),100,g,65,11.03,1.27,1.77,30,g,19.50 
무짠지,장아찌·절임류,무짠지,,100,g,11,1.98,0.54,0.12,50,g,5.50 
무초절임(치킨무),장아찌·절임류,무초절임(치킨무),,100,g,17,3.05,0.52,0.3,130,g,22.10 
오이장아찌,장아찌·절임류,오이장아찌,,100,g,14,2.54,0.36,0.28,50,g,7.00 
오이지,장아찌·절임류,오이지,,100,g,21,2.84,0.74,0.72,50,g,10.50 
미숫가루,음료 및 차류,미숫가루,,100,g,70,10.42,2.08,2.27,300,g,210.00 
육회,수·조·어·육류,육회,,100,g,130,8.12,9.93,6.43,150,g,195.00 
리소토/리조또_스파이시 씨푸드 리조또,밥류,리소토/리조또,,100,g,148,,5.81,,241,g,356.68 
리소토/리조또_치킨 크림 리조또,밥류,리소토/리조또,,100,g,185,,6.22,,241,g,445.85 
리소토/리조또_베이컨크림리조또,밥류,리소토/리조또,,100,g,173,,3.71,,457,g,790.61 
볶음밥_갈비천왕 치즈 치밥,밥류,볶음밥,,100,g,208,22.04,10.97,,100,g,208.00 
볶음밥_달걀듬뿍 볶음밥,밥류,볶음밥,,100,g,170,,5.38,,100,g,170.00 
볶음밥_닭갈비 볶음밥,밥류,볶음밥,,100,g,180,,5,,100,g,180.00 
볶음밥_볼케이노 치즈 치밥,밥류,볶음밥,,100,g,198,20.66,12.81,,100,g,198.00 
볶음밥_의성마늘 볶음밥,밥류,볶음밥,,100,g,199,,3.41,,100,g,199.00 
볶음밥_낙지볶음밥,밥류,볶음밥,,100,g,182,,3.3,,300,g,546.00 
볶음밥_불고기볶음밥,밥류,볶음밥,,100,g,175,,3.8,,300,g,525.00 
볶음밥_새우볶음밥,밥류,볶음밥,새우,100,g,161,,2.6,,300,g,483.00 
볶음밥_목동햄볶음밥,밥류,볶음밥,햄,100,g,171,,3.09,,340,g,581.40 
오므라이스_수플레 오믈렛 라이스,밥류,오므라이스,,100,g,167,,4.94,,243,g,405.81 
주먹밥_전주비빔라이스버거,밥류,주먹밥,,100,g,201,,6.03,,285,g,572.85 
주먹밥_까르보나라 구운주먹밥,밥류,주먹밥,,100,g,211,,6,,100,g,211.00 
주먹밥_매콤 로제 구운주먹밥,밥류,주먹밥,,100,g,209,,5,,100,g,209.00 
김치 볶음밥_치즈오븐김치볶음밥,밥류,김치 볶음밥,모듬,100,g,160,16.5,8.29,6.36,322,g,515.20 
김치 볶음밥_치즈오븐김치볶음밥,밥류,김치 볶음밥,모듬,100,g,196,,7.87,,356,g,697.76 
찹쌀떡_요아정 고구마크림 찹쌀떡,빵 및 과자류,찹쌀떡,,100,g,238,45,2.5,5.5,40,g,95.20 
찹쌀떡_요아정 딸기요거트크림 찹쌀떡,빵 및 과자류,찹쌀떡,,100,g,238,45,2.5,5.25,40,g,95.20 
찹쌀떡_요아정 쑥팥크림 찹쌀떡,빵 및 과자류,찹쌀떡,,100,g,263,47.5,5,5.5,40,g,105.20 
찹쌀떡_요아정 카스테라 생크림 찹쌀떡,빵 및 과자류,찹쌀떡,,100,g,250,42.5,2.5,7.25,40,g,100.00 
감자빵_강원도알감자빵 (5개입),빵 및 과자류,감자빵,,100,g,244,,3.13,,160,g,390.40 
감자빵_강원도알감자빵,빵 및 과자류,감자빵,,100,g,250,,3.13,,32,g,80.00 
감자빵_감자쫀득볼,빵 및 과자류,감자빵,,100,g,313,,3.95,,50,g,156.50 
감자빵_못난이 감자크럼볼,빵 및 과자류,감자빵,,100,g,211,45.33,1.33,,75,g,158.25 
감자빵_포슬쫀득 감자빵,빵 및 과자류,감자빵,,100,g,284,,3.64,,110,g,312.40 
감자빵_못난이감자크럼볼,빵 및 과자류,감자빵,,100,g,247,,1.33,,75,g,185.25 
감자빵_진짜감자빵,빵 및 과자류,감자빵,,100,g,242,38.08,2.5,8.58,120,g,290.40 
감자빵_쫀득 감자빵,빵 및 과자류,감자빵,,100,g,246,,5,,120,g,295.20 
감자빵_찐찐 감자빵,빵 및 과자류,감자빵,,100,g,247,,2.22,,90,g,222.30 
감자빵_포슬쫀득감자빵,빵 및 과자류,감자빵,,100,g,284,,3.64,,110,g,312.40 
건포도빵_건포도빵 (대),빵 및 과자류,건포도빵,,100,g,311,,7.53,,465,g,1446.15 
건포도빵_건포도빵 (소),빵 및 과자류,건포도빵,,100,g,310,,7.76,,232,g,719.20 
건포도빵_우리쌀건포도브레드,빵 및 과자류,건포도빵,,100,g,265,,6,,150,g,397.50 
계란빵_쌀계란빵,빵 및 과자류,계란빵,,100,g,313,,2,,100,g,313.00 
계란빵_트윈에그 브레드,빵 및 과자류,계란빵,,100,g,238,,10.48,,105,g,249.90 
